nohup: ignoring input
Random Seed:  2048
cuda:0  will be used.

Generator(
  (gen): Sequential(
    (0): Linear(in_features=260, out_features=256, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=256, out_features=1000, bias=True)
    (5): Tanh()
  )
)
Discriminator(
  (dis): Sequential(
    (0): Linear(in_features=1000, out_features=256, bias=True)
    (1): LeakyReLU(negative_slope=0.2)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): LeakyReLU(negative_slope=0.2)
    (4): Linear(in_features=256, out_features=128, bias=True)
    (5): Sigmoid()
  )
)
DHead(
  (dis): Linear(in_features=128, out_features=1, bias=True)
)
QHead(
  (disc): Linear(in_features=128, out_features=4, bias=True)
  (mu): Linear(in_features=128, out_features=8, bias=True)
  (var): Linear(in_features=128, out_features=8, bias=True)
)
-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 2953
-------------------------
[5/100][600/2953]	Loss_D: -1.8181	Loss_G: 2.9196
[5/100][700/2953]	Loss_D: -0.8931	Loss_G: 2.9176
[5/100][800/2953]	Loss_D: -1.1515	Loss_G: 2.9156
[5/100][900/2953]	Loss_D: -1.2267	Loss_G: 2.9285
[5/100][1000/2953]	Loss_D: -1.5209	Loss_G: 2.9690
[5/100][1100/2953]	Loss_D: -1.4878	Loss_G: 2.9768
[5/100][1200/2953]	Loss_D: -0.9968	Loss_G: 3.0354
[5/100][1300/2953]	Loss_D: -1.1373	Loss_G: 3.0284
[5/100][1400/2953]	Loss_D: -1.3073	Loss_G: 3.0739
[5/100][1500/2953]	Loss_D: -2.1789	Loss_G: 3.0213
[5/100][1600/2953]	Loss_D: -1.1949	Loss_G: 3.0394
[5/100][1700/2953]	Loss_D: -0.6731	Loss_G: 3.0579
[5/100][1800/2953]	Loss_D: -1.2825	Loss_G: 3.0909
[5/100][1900/2953]	Loss_D: -1.3474	Loss_G: 3.0683
[5/100][2000/2953]	Loss_D: -1.2240	Loss_G: 3.0522
[5/100][2100/2953]	Loss_D: -1.8526	Loss_G: 2.6483
[5/100][2200/2953]	Loss_D: -0.5009	Loss_G: 2.6918
[5/100][2300/2953]	Loss_D: -1.5647	Loss_G: 2.8656
[5/100][2400/2953]	Loss_D: -1.1290	Loss_G: 2.9434
[5/100][2500/2953]	Loss_D: -0.9638	Loss_G: 2.9743
[5/100][2600/2953]	Loss_D: -1.5456	Loss_G: 3.0435
[5/100][2700/2953]	Loss_D: -1.0639	Loss_G: 3.0996
[5/100][2800/2953]	Loss_D: -0.7069	Loss_G: 3.1318
[5/100][2900/2953]	Loss_D: -1.8173	Loss_G: 3.1825
Time taken for Epoch 5: 36.51s
[6/100][100/2953]	Loss_D: -1.6211	Loss_G: 3.2052
[6/100][200/2953]	Loss_D: -1.1420	Loss_G: 3.2284
[6/100][300/2953]	Loss_D: -2.1294	Loss_G: 3.2471
[6/100][400/2953]	Loss_D: -0.9859	Loss_G: 3.2696
[6/100][500/2953]	Loss_D: -2.2445	Loss_G: 3.2652
[6/100][600/2953]	Loss_D: -2.2780	Loss_G: 3.2628
[6/100][700/2953]	Loss_D: -1.0427	Loss_G: 3.2761
[6/100][800/2953]	Loss_D: -1.6270	Loss_G: 3.2710
[6/100][900/2953]	Loss_D: -1.4124	Loss_G: 3.2451
[6/100][1000/2953]	Loss_D: -1.7045	Loss_G: 3.2768
[6/100][1100/2953]	Loss_D: -1.9387	Loss_G: 3.2820
[6/100][1200/2953]	Loss_D: -1.9492	Loss_G: 3.2983
[6/100][1300/2953]	Loss_D: -1.7680	Loss_G: 3.2866
[6/100][1400/2953]	Loss_D: -1.0785	Loss_G: 3.3039
[6/100][1500/2953]	Loss_D: -2.9313	Loss_G: 3.2998
[6/100][1600/2953]	Loss_D: -1.6198	Loss_G: 3.2612
[6/100][1700/2953]	Loss_D: -1.2119	Loss_G: 3.3168
[6/100][1800/2953]	Loss_D: -2.5570	Loss_G: 3.1954
[6/100][1900/2953]	Loss_D: -2.5685	Loss_G: 3.1915
[6/100][2000/2953]	Loss_D: -1.2353	Loss_G: 3.1448
