nohup: ignoring input
/home/yhang/GAN/InfoGAN-PyTorch/train_classifier.py:148: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  target = torch.tensor(label.view(1, b_size), dtype=torch.long)
Random Seed:  2048
cuda:1  will be used.

-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
[21/100][100/1230]	Loss_C: 0.0090
[21/100][200/1230]	Loss_C: 0.0135
[21/100][300/1230]	Loss_C: 0.0270
[21/100][400/1230]	Loss_C: 0.0090
[21/100][500/1230]	Loss_C: 0.0228
[21/100][600/1230]	Loss_C: 0.1046
[21/100][700/1230]	Loss_C: 0.0047
[21/100][800/1230]	Loss_C: 0.0229
[21/100][900/1230]	Loss_C: 0.0442
[21/100][1000/1230]	Loss_C: 0.0114
[21/100][1100/1230]	Loss_C: 0.0391
[21/100][1200/1230]	Loss_C: 0.0187
Time taken for Epoch 21: 10.67s
[22/100][100/1230]	Loss_C: 0.0398
[22/100][200/1230]	Loss_C: 0.0011
[22/100][300/1230]	Loss_C: 0.0199
[22/100][400/1230]	Loss_C: 0.0097
[22/100][500/1230]	Loss_C: 0.0140
[22/100][600/1230]	Loss_C: 0.0070
[22/100][700/1230]	Loss_C: 0.0155
[22/100][800/1230]	Loss_C: 0.0196
[22/100][900/1230]	Loss_C: 0.0951
[22/100][1000/1230]	Loss_C: 0.0041
[22/100][1100/1230]	Loss_C: 0.0284
[22/100][1200/1230]	Loss_C: 0.0712
Time taken for Epoch 22: 10.62s
[23/100][100/1230]	Loss_C: 0.0034
[23/100][200/1230]	Loss_C: 0.0093
[23/100][300/1230]	Loss_C: 0.0096
[23/100][400/1230]	Loss_C: 0.0275
[23/100][500/1230]	Loss_C: 0.0067
[23/100][600/1230]	Loss_C: 0.0121
[23/100][700/1230]	Loss_C: 0.0541
[23/100][800/1230]	Loss_C: 0.0453
[23/100][900/1230]	Loss_C: 0.0047
[23/100][1000/1230]	Loss_C: 0.0305
[23/100][1100/1230]	Loss_C: 0.0121
[23/100][1200/1230]	Loss_C: 0.0267
Time taken for Epoch 23: 10.77s
[24/100][100/1230]	Loss_C: 0.0240
[24/100][200/1230]	Loss_C: 0.0383
[24/100][300/1230]	Loss_C: 0.0339
[24/100][400/1230]	Loss_C: 0.0076
[24/100][500/1230]	Loss_C: 0.0060
[24/100][600/1230]	Loss_C: 0.0236
[24/100][700/1230]	Loss_C: 0.0152
[24/100][800/1230]	Loss_C: 0.0157
[24/100][900/1230]	Loss_C: 0.0419
[24/100][1000/1230]	Loss_C: 0.0166
[24/100][1100/1230]	Loss_C: 0.0384
[24/100][1200/1230]	Loss_C: 0.0661
Time taken for Epoch 24: 10.48s
[25/100][100/1230]	Loss_C: 0.0025
[25/100][200/1230]	Loss_C: 0.0117
[25/100][300/1230]	Loss_C: 0.0039
[25/100][400/1230]	Loss_C: 0.0245
[25/100][500/1230]	Loss_C: 0.0320
[25/100][600/1230]	Loss_C: 0.0063
[25/100][700/1230]	Loss_C: 0.0296
[25/100][800/1230]	Loss_C: 0.0303
[25/100][900/1230]	Loss_C: 0.0317
[25/100][1000/1230]	Loss_C: 0.0116
[25/100][1100/1230]	Loss_C: 0.0014
[25/100][1200/1230]	Loss_C: 0.0810
Time taken for Epoch 25: 10.71s
[26/100][100/1230]	Loss_C: 0.0168
[26/100][200/1230]	Loss_C: 0.0040
[26/100][300/1230]	Loss_C: 0.0482
[26/100][400/1230]	Loss_C: 0.0154
[26/100][500/1230]	Loss_C: 0.0227
[26/100][600/1230]	Loss_C: 0.0096
[26/100][700/1230]	Loss_C: 0.0231
[26/100][800/1230]	Loss_C: 0.0482
[26/100][900/1230]	Loss_C: 0.0025
[26/100][1000/1230]	Loss_C: 0.0206
[26/100][1100/1230]	Loss_C: 0.0390
[26/100][1200/1230]	Loss_C: 0.0238
Time taken for Epoch 26: 10.92s
[27/100][100/1230]	Loss_C: 0.0151
[27/100][200/1230]	Loss_C: 0.0131
[27/100][300/1230]	Loss_C: 0.0032
[27/100][400/1230]	Loss_C: 0.0135
[27/100][500/1230]	Loss_C: 0.0588
[27/100][600/1230]	Loss_C: 0.0056
[27/100][700/1230]	Loss_C: 0.0030
[27/100][800/1230]	Loss_C: 0.0356
[27/100][900/1230]	Loss_C: 0.0258
[27/100][1000/1230]	Loss_C: 0.0070
[27/100][1100/1230]	Loss_C: 0.0231
[27/100][1200/1230]	Loss_C: 0.0225
Time taken for Epoch 27: 10.55s
[28/100][100/1230]	Loss_C: 0.0083
[28/100][200/1230]	Loss_C: 0.0213
[28/100][300/1230]	Loss_C: 0.0066
[28/100][400/1230]	Loss_C: 0.0090
[28/100][500/1230]	Loss_C: 0.0121
[28/100][600/1230]	Loss_C: 0.0484
[28/100][700/1230]	Loss_C: 0.0222
[28/100][800/1230]	Loss_C: 0.0416
[28/100][900/1230]	Loss_C: 0.0559
[28/100][1000/1230]	Loss_C: 0.0569
[28/100][1100/1230]	Loss_C: 0.0940
[28/100][1200/1230]	Loss_C: 0.0075
Time taken for Epoch 28: 10.89s
[29/100][100/1230]	Loss_C: 0.0104
[29/100][200/1230]	Loss_C: 0.0054
[29/100][300/1230]	Loss_C: 0.0328
[29/100][400/1230]	Loss_C: 0.0142
[29/100][500/1230]	Loss_C: 0.0298
[29/100][600/1230]	Loss_C: 0.0336
[29/100][700/1230]	Loss_C: 0.0052
[29/100][800/1230]	Loss_C: 0.0118
[29/100][900/1230]	Loss_C: 0.0414
[29/100][1000/1230]	Loss_C: 0.0026
[29/100][1100/1230]	Loss_C: 0.0134
[29/100][1200/1230]	Loss_C: 0.0143
Time taken for Epoch 29: 10.75s
[30/100][100/1230]	Loss_C: 0.0033
[30/100][200/1230]	Loss_C: 0.0032
[30/100][300/1230]	Loss_C: 0.0223
[30/100][400/1230]	Loss_C: 0.0013
[30/100][500/1230]	Loss_C: 0.0108
[30/100][600/1230]	Loss_C: 0.0049
[30/100][700/1230]	Loss_C: 0.0330
[30/100][800/1230]	Loss_C: 0.0398
[30/100][900/1230]	Loss_C: 0.0272
[30/100][1000/1230]	Loss_C: 0.0180
[30/100][1100/1230]	Loss_C: 0.0041
[30/100][1200/1230]	Loss_C: 0.0091
Time taken for Epoch 30: 10.60s
[31/100][100/1230]	Loss_C: 0.0026
[31/100][200/1230]	Loss_C: 0.0095
[31/100][300/1230]	Loss_C: 0.0016
[31/100][400/1230]	Loss_C: 0.0539
[31/100][500/1230]	Loss_C: 0.0079
[31/100][600/1230]	Loss_C: 0.0013
[31/100][700/1230]	Loss_C: 0.0327
[31/100][800/1230]	Loss_C: 0.0178
[31/100][900/1230]	Loss_C: 0.0405
[31/100][1000/1230]	Loss_C: 0.0071
[31/100][1100/1230]	Loss_C: 0.0025
[31/100][1200/1230]	Loss_C: 0.0670
Time taken for Epoch 31: 11.25s
[32/100][100/1230]	Loss_C: 0.0089
[32/100][200/1230]	Loss_C: 0.0064
[32/100][300/1230]	Loss_C: 0.0037
[32/100][400/1230]	Loss_C: 0.0236
[32/100][500/1230]	Loss_C: 0.0144
[32/100][600/1230]	Loss_C: 0.0243
[32/100][700/1230]	Loss_C: 0.0080
[32/100][800/1230]	Loss_C: 0.0164
[32/100][900/1230]	Loss_C: 0.0034
[32/100][1000/1230]	Loss_C: 0.0020
[32/100][1100/1230]	Loss_C: 0.0421
[32/100][1200/1230]	Loss_C: 0.0040
Time taken for Epoch 32: 11.02s
[33/100][100/1230]	Loss_C: 0.0224
[33/100][200/1230]	Loss_C: 0.0112
[33/100][300/1230]	Loss_C: 0.0008
[33/100][400/1230]	Loss_C: 0.0047
[33/100][500/1230]	Loss_C: 0.0040
[33/100][600/1230]	Loss_C: 0.0144
[33/100][700/1230]	Loss_C: 0.0099
[33/100][800/1230]	Loss_C: 0.0176
[33/100][900/1230]	Loss_C: 0.0087
[33/100][1000/1230]	Loss_C: 0.0166
[33/100][1100/1230]	Loss_C: 0.0026
[33/100][1200/1230]	Loss_C: 0.0431
Time taken for Epoch 33: 11.17s
[34/100][100/1230]	Loss_C: 0.0067
[34/100][200/1230]	Loss_C: 0.0270
[34/100][300/1230]	Loss_C: 0.0047
[34/100][400/1230]	Loss_C: 0.0100
[34/100][500/1230]	Loss_C: 0.0347
[34/100][600/1230]	Loss_C: 0.0340
[34/100][700/1230]	Loss_C: 0.0233
[34/100][800/1230]	Loss_C: 0.0063
[34/100][900/1230]	Loss_C: 0.0222
[34/100][1000/1230]	Loss_C: 0.0266
[34/100][1100/1230]	Loss_C: 0.0038
[34/100][1200/1230]	Loss_C: 0.0076
Time taken for Epoch 34: 11.02s
[35/100][100/1230]	Loss_C: 0.0092
[35/100][200/1230]	Loss_C: 0.0162
[35/100][300/1230]	Loss_C: 0.0162
[35/100][400/1230]	Loss_C: 0.0080
[35/100][500/1230]	Loss_C: 0.0406
[35/100][600/1230]	Loss_C: 0.0573
[35/100][700/1230]	Loss_C: 0.0035
[35/100][800/1230]	Loss_C: 0.0340
[35/100][900/1230]	Loss_C: 0.0061
[35/100][1000/1230]	Loss_C: 0.0253
[35/100][1100/1230]	Loss_C: 0.0199
[35/100][1200/1230]	Loss_C: 0.0257
Time taken for Epoch 35: 10.68s
[36/100][100/1230]	Loss_C: 0.0045
[36/100][200/1230]	Loss_C: 0.0037
[36/100][300/1230]	Loss_C: 0.0082
[36/100][400/1230]	Loss_C: 0.0309
[36/100][500/1230]	Loss_C: 0.0060
[36/100][600/1230]	Loss_C: 0.0210
[36/100][700/1230]	Loss_C: 0.0908
[36/100][800/1230]	Loss_C: 0.0047
[36/100][900/1230]	Loss_C: 0.0047
[36/100][1000/1230]	Loss_C: 0.0265
[36/100][1100/1230]	Loss_C: 0.0074
[36/100][1200/1230]	Loss_C: 0.0013
Time taken for Epoch 36: 10.74s
[37/100][100/1230]	Loss_C: 0.0057
[37/100][200/1230]	Loss_C: 0.0145
[37/100][300/1230]	Loss_C: 0.0160
[37/100][400/1230]	Loss_C: 0.0384
[37/100][500/1230]	Loss_C: 0.0056
[37/100][600/1230]	Loss_C: 0.0172
[37/100][700/1230]	Loss_C: 0.0474
[37/100][800/1230]	Loss_C: 0.0085
[37/100][900/1230]	Loss_C: 0.0156
[37/100][1000/1230]	Loss_C: 0.0009
[37/100][1100/1230]	Loss_C: 0.0440
[37/100][1200/1230]	Loss_C: 0.0041
Time taken for Epoch 37: 10.79s
[38/100][100/1230]	Loss_C: 0.0041
[38/100][200/1230]	Loss_C: 0.0291
[38/100][300/1230]	Loss_C: 0.0116
[38/100][400/1230]	Loss_C: 0.0100
[38/100][500/1230]	Loss_C: 0.0278
[38/100][600/1230]	Loss_C: 0.0316
