nohup: ignoring input
Random Seed:  2048
cuda:0  will be used.

Generator(
  (gen): Sequential(
    (0): Linear(in_features=259, out_features=256, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=256, out_features=1024, bias=True)
    (5): Tanh()
  )
)
Discriminator(
  (dis): Sequential(
    (0): Linear(in_features=1024, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.2)
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): LeakyReLU(negative_slope=0.2)
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): LeakyReLU(negative_slope=0.2)
    (6): Linear(in_features=256, out_features=128, bias=True)
    (7): Sigmoid()
  )
)
DHead(
  (dis): Linear(in_features=128, out_features=1, bias=True)
)
QHead(
  (disc): Linear(in_features=128, out_features=4, bias=True)
  (mu): Linear(in_features=128, out_features=8, bias=True)
  (var): Linear(in_features=128, out_features=8, bias=True)
)
-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
[8/100][900/1230]	Loss_D: -27.3432	Loss_G: 9.0324
[8/100][1000/1230]	Loss_D: -37.6240	Loss_G: 9.0347
[8/100][1100/1230]	Loss_D: -39.0620	Loss_G: 9.5038
[8/100][1200/1230]	Loss_D: -39.0621	Loss_G: 9.2051
Time taken for Epoch 8: 15.85s
[9/100][100/1230]	Loss_D: -35.9366	Loss_G: 9.3294
[9/100][200/1230]	Loss_D: -33.5744	Loss_G: 9.3353
[9/100][300/1230]	Loss_D: -36.6000	Loss_G: 9.3455
[9/100][400/1230]	Loss_D: -36.6728	Loss_G: 9.6028
[9/100][500/1230]	Loss_D: -31.3706	Loss_G: 9.3799
[9/100][600/1230]	Loss_D: -30.4664	Loss_G: 9.5408
[9/100][700/1230]	Loss_D: -33.5930	Loss_G: 9.7000
[9/100][800/1230]	Loss_D: -31.2330	Loss_G: 9.6111
[9/100][900/1230]	Loss_D: -39.8420	Loss_G: 9.6726
[9/100][1000/1230]	Loss_D: -35.9371	Loss_G: 9.7015
[9/100][1100/1230]	Loss_D: -33.5934	Loss_G: 9.7782
[9/100][1200/1230]	Loss_D: -27.4287	Loss_G: 9.8625
Time taken for Epoch 9: 15.86s
[10/100][100/1230]	Loss_D: -28.0242	Loss_G: 9.6933
[10/100][200/1230]	Loss_D: -39.5102	Loss_G: 9.4686
[10/100][300/1230]	Loss_D: -22.2622	Loss_G: 8.5556
[10/100][400/1230]	Loss_D: -32.7896	Loss_G: 7.4834
[10/100][500/1230]	Loss_D: -26.7573	Loss_G: 10.2474
[10/100][600/1230]	Loss_D: -38.3808	Loss_G: 10.1081
[10/100][700/1230]	Loss_D: -37.4978	Loss_G: 10.0526
[10/100][800/1230]	Loss_D: -36.7181	Loss_G: 9.9550
[10/100][900/1230]	Loss_D: -32.8719	Loss_G: 9.9908
[10/100][1000/1230]	Loss_D: -35.9849	Loss_G: 10.5974
[10/100][1100/1230]	Loss_D: -33.5018	Loss_G: 10.0297
[10/100][1200/1230]	Loss_D: -30.4685	Loss_G: 10.0126
Time taken for Epoch 10: 15.67s
[11/100][100/1230]	Loss_D: -33.5934	Loss_G: 9.8612
[11/100][200/1230]	Loss_D: -38.2803	Loss_G: 9.6220
[11/100][300/1230]	Loss_D: -37.4997	Loss_G: 9.7644
[11/100][400/1230]	Loss_D: -42.2972	Loss_G: 9.7634
[11/100][500/1230]	Loss_D: -28.2252	Loss_G: 10.3318
[11/100][600/1230]	Loss_D: -36.0282	Loss_G: 10.7101
[11/100][700/1230]	Loss_D: -31.2835	Loss_G: 9.0048
[11/100][800/1230]	Loss_D: -32.0875	Loss_G: 9.5179
[11/100][900/1230]	Loss_D: -33.6097	Loss_G: 9.7761
[11/100][1000/1230]	Loss_D: -38.2372	Loss_G: 9.0792
[11/100][1100/1230]	Loss_D: -31.3705	Loss_G: 8.9391
[11/100][1200/1230]	Loss_D: -34.3729	Loss_G: 8.7613
Time taken for Epoch 11: 15.86s
[12/100][100/1230]	Loss_D: -29.6426	Loss_G: 9.7685
[12/100][200/1230]	Loss_D: -27.4490	Loss_G: 16.0476
[12/100][300/1230]	Loss_D: -35.8912	Loss_G: 14.4173
[12/100][400/1230]	Loss_D: -28.2777	Loss_G: 12.2579
[12/100][500/1230]	Loss_D: -32.8237	Loss_G: 10.1867
[12/100][600/1230]	Loss_D: -34.3397	Loss_G: 8.4321
[12/100][700/1230]	Loss_D: -31.3195	Loss_G: 12.9036
[12/100][800/1230]	Loss_D: -32.1453	Loss_G: 10.7865
[12/100][900/1230]	Loss_D: -36.7769	Loss_G: 13.4554
[12/100][1000/1230]	Loss_D: -30.4634	Loss_G: 7.7088
